,V1,V2,V3,V4,V5,Intro,Intro,1,2,2._TEXT,3._1,3._2,3._3,3._4,3._5,3._7,3._8,3._9,3._10,3._11,3._12,3._13,3._14,3._15,3._16,3.5_2,3.5_3,3.5_4,3.5_5,Info,4._1,4._2,5,6,Info,7._1,7._2,7._3,7._4,7._5,7._6,7._7,8._1_Group,8._1_Rank,8._2_Group,8._2_Rank,8._3_Group,8._3_Rank,8._4_Group,8._4_Rank,8._5_Group,8._5_Rank,8._6_Group,8._6_Rank,8._7_Group,8._7_Rank,9._10_Group,9._10_Rank,9._11_Group,9._11_Rank,9._12_Group,9._12_Rank,9._13_Group,9._13_Rank,Info,10._1,10._2,10._3,10._4,11._10_Group,11._10_Rank,11._11_Group,11._11_Rank,11._12_Group,11._12_Rank,11._13_Group,11._13_Rank,11.5,11.5_TEXT,12._1,12._2,13._1,14._1,15,End
67,R_cIl1cydTJRfRQc5,Default Response Set,10/2/13 11:00,10/2/13 11:08,1,1,1,4 or more reports,Professor / academic researcher,,,,,Biology,,Education,,,,Medical Sciences,,,,,,Ecology,,,,1,2010,The Use of Title 42 Authority at the U.S. Environmental Protection Agency: A Letter Report,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,"We have to bridge the gap betwen ecologists and health scientists in academy reports.  Best way to do this is careful crafting of the SOt to assure representation of the disciplines.  Also, overall attention to ecological impacts is waning at a time when the challengies of sustainability, climate, energy, and persistent pollutants should be moving to the forefront of our national policies. ",1
68,R_elCyA6YrUdvNlHv,Default Response Set,9/30/13 15:34,10/2/13 11:15,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Improving Water Quality in the Mississippi River Basin and Northern Gulf of Mexico: Strategies and Priorities,Yes,Yes,1,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Unimportant,Very Important,Very Important,Factor Importance,5,Factor Importance,6,Factor Importance,3,Factor Importance,2,Factor Importance,7,Factor Importance,4,Factor Importance,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,Citation Frequency,1,1,Frequently,Frequently,Frequently,Never,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,Citation Frequency,1,,,Agree,Agree,Strongly Agree,Strongly Agree,"The long-term data for the Miss R and its effects is the driving factor in the study and the changes to the system, but shorte-term studies that look at, e.g., stream size and denitrification potential, are just as important in understanding a different scale of processes. /  / I was also on the WATERS, but the questions are answered related to the Miss R. report.",1
69,R_beE5MzSVMibhtyd,Default Response Set,10/2/13 14:02,10/2/13 14:06,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,Medical Sciences,,,,,,,,,,1,2010,Eighteenth Interim Report of the Committee on Acute Exposure Guideline Levels,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,1
70,R_e8WMRV83R91iXxr,Default Response Set,10/3/13 1:46,10/3/13 2:09,1,1,1,1 report,Agency scientist / resource management scientist,,"Agriculture, Food, and Renewable Resources",,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Important,Very Important,Very Important,Neither Important nor Unimportant,Neither Important nor Unimportant,Very Important,Factor Importance,6,Factor Importance,5,Factor Importance,2,Factor Importance,1,Factor Importance,7,Factor Importance,4,Factor Importance,3,Citation Frequency,2,Citation Frequency,1,,,,,1,Frequently,Frequently,Always,Infrequently,Citation Frequency,1,Citation Frequency,2,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,"One particular issue in relation to citing references is availability and applicability of refereces to the field and subject matter. You basically have to go with what's available and sometimes the status/quality of the publication is not the best. This would certainly influence the confidence of the conclusions and the overall strenght of a report. Furthermore, as an aside, I have major issues with the peer review process currently in that, there appears to be a policy now within some journals to publish anything (the more controversial the better) and as a consequence the review process is less critical and stringent - standards appear to be slipping. This appears more prevalent, in my view, in the commercial publicatiosn as opposed to those produced by socities or professional organisations whose main objectives are not commercial. I would give greater credence to publications from these journals.",1
71,R_3qmjrbQh6opYSnb,Default Response Set,10/3/13 7:01,10/3/13 7:03,1,1,1,2-3 reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,Assessment of Intraseasonal to Interannual Climate Prediction and Predictability,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
72,R_eCZpCoOuhnrEK2x,Default Response Set,10/3/13 18:56,10/3/13 19:01,1,1,1,1 report,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,Statistics,,,,,1,2010,Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,Yes,Yes,1,Very Unimportant,Very Unimportant,Very Important,Very Important,Very Unimportant,Very Unimportant,Very Important,Factor Importance,6,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,5,Factor Importance,4,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Always,Frequently,Infrequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,,1
73,R_1H2GoaNMDo4ANTL,Default Response Set,10/4/13 8:20,10/4/13 8:36,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,,,,,,Ecology,,,,1,2010,Adapting to the Impacts of Climate Change,Yes,Yes,1,Very Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Factor Importance,7,Factor Importance,6,Factor Importance,3,Factor Importance,4,Factor Importance,2,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Always,Always,Always,Always,Citation Frequency,4,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,"The most important criterion in selecting references was their relevance to issues addressed by the study topic. When there were multiple references to substantiate a given point, the most robust studies (a function of study design, quality of analysis, quality and clarity of writing, temporal and spatial extent, and degree of synthesis) were the ones cited. The only caveat is that we never cited studies that we didn't know about. Almost certainly there were superb studies with which the study team was unfamiliar. The NRC staff were extremely helpful in pointing out studies that the report authors didn't know about (e.g., analysis of the impact of particular agricultural adaptations on crop yield or water requirement). In other words, I think that the major source of potential bias was gaps in expertise of the author team.",1
74,R_1G0mZAPrgVv6UWp,Default Response Set,10/6/13 12:27,10/6/13 12:49,1,1,1,4 or more reports,Industry professional,,,,,,,,Engineering,,,,,,,,,,,,,1,2010,Review of the WATERS Network Science Plan,Yes,Yes,1,Very Unimportant,Neither Important nor Unimportant,Very Unimportant,Very Unimportant,Neither Important nor Unimportant,Somewhat Unimportant,Very Unimportant,Factor Importance,6,Factor Importance,7,Factor Importance,3,Factor Importance,2,Factor Importance,5,Factor Importance,4,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Frequently,Always,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,,1
75,R_51GPo2qRRYjExPn,Default Response Set,10/9/13 9:15,10/9/13 9:18,1,1,1,2-3 reports,Public policy or government official,,,,,,,,,,,Medical Sciences,,,,,,,,,,1,2010,,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
76,R_72tzbvEXQFmHX7v,Default Response Set,10/10/13 11:17,10/10/13 11:30,1,1,1,2-3 reports,Environmental professional,,,,,Biology,,,,,,,,,,,,Ecology,,,,1,2010,A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California's Bay Delta,Yes,Yes,1,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Very Important,Factor Importance,2,Factor Importance,7,Factor Importance,5,Factor Importance,4,Factor Importance,6,Factor Importance,3,Factor Importance,1,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Frequently,Frequently,Infrequently,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,Citation Frequency,4,,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
77,R_dlZSZeVIZ4rIvU9,Default Response Set,10/17/13 7:53,10/17/13 8:01,1,1,1,1 report,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Review of the St. Johns River Water Supply Impact Study: Report 3,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,7,Factor Importance,6,Factor Importance,4,Factor Importance,2,Factor Importance,3,Factor Importance,5,Factor Importance,1,,,,,,,,,1,Never,Always,Frequently,Infrequently,,,,,,,,,,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
78,R_55xkoZgeYkFtKu1,Default Response Set,10/19/13 2:16,10/19/13 2:23,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,Geology and Geography,,,,,,,,,,,,1,2010,,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Very Unimportant,Factor Importance,7,Factor Importance,6,Factor Importance,5,Factor Importance,2,Factor Importance,4,Factor Importance,3,Factor Importance,1,,,Citation Frequency,1,,,,,1,Frequently,Frequently,Infrequently,Infrequently,,,Citation Frequency,1,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,The screen asking for the most recent report with which I was involved did not list the 2010 study to which I contributed.  It was Understanding the Changing Planet: Strategic Directions for the Geographical Sciences.,1
79,R_0rgJSD20JqPWFcV,Default Response Set,10/22/13 9:14,10/22/13 9:18,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,Geology and Geography,,,,,,,,,,,,1,2010,Realizing the Energy Potential of Methane Hydrate for the United States,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,,1
80,R_207uk35DLR1C5U1,Default Response Set,10/22/13 9:17,10/22/13 9:27,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,Medical Sciences,,,Psychology,,,,,,,1,2010,Review of the Environmental Protection Agency's Draft IRIS Assessment of Tetrachloroethylene,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,"For the last panel on which I served, which evaluated the dry-cleaner solvent tetrachloroethylene, the risk assessment was driven entirely by human health considerations. I suspect that ecotoxicology was not included because of the nature of the use of the substance (dry cleaning operations, largely, and some degreasing), because of the paucity of data for this particular chemical, and because it is volatile and not persistent.  For whatever reason, ecotoxicology never came up and (personally) I think that that represents a significant omission. At the very least, some consideration might have led to the conclusion that we know next to nothing about the ecotoxicological impact of this chemical and should learn more. ",1
81,R_b8aWt06H5pnPVs1,Default Response Set,10/22/13 9:24,10/22/13 9:29,1,1,1,1 report,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,Statistics,,,,,1,2010,Assessment of Intraseasonal to Interannual Climate Prediction and Predictability,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Critical for assessing impacts of global climate change.,1
82,R_eEdI1mTEHtBexQ9,Default Response Set,10/22/13 9:35,10/22/13 9:41,1,1,1,1 report,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,"Social, Economic, and Political Sciences",Statistics,,,,,1,2010,Impact of Genetically Engineered Crops on Farm Sustainability in the United States,Yes,Yes,1,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Unimportant,Somewhat Important,Factor Importance,2,Factor Importance,1,Factor Importance,4,Factor Importance,5,Factor Importance,7,Factor Importance,6,Factor Importance,3,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,Citation Frequency,4,1,Frequently,Frequently,Frequently,Infrequently,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
83,R_5gzOc9EbmuF6fWZ,Default Response Set,10/22/13 9:35,10/22/13 9:55,1,1,1,4 or more reports,Agency scientist / resource management scientist,,,,,,Chemistry,,,,,,,,,,,,,,,1,,,Yes,Yes,1,Unable to Rate,Unable to Rate,Somewhat Important,Somewhat Important,Unable to Rate,Unable to Rate,Unable to Rate,Factor Importance,6,Factor Importance,7,Factor Importance,2,Factor Importance,1,Factor Importance,5,Factor Importance,4,Factor Importance,3,,,,,,,,,1,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,,,,,,,,,,,Agree,Disagree,Agree,Agree,,1
84,R_8cCLuR34k7i3d7n,Default Response Set,10/22/13 9:52,10/22/13 10:02,1,1,1,1 report,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,Biology,,,,,,,,,,,,Ecology,,,,1,2010,Impact of Genetically Engineered Crops on Farm Sustainability in the United States,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Neither Important nor Unimportant,Factor Importance,6,Factor Importance,5,Factor Importance,2,Factor Importance,3,Factor Importance,4,Factor Importance,1,Factor Importance,7,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Always,Always,Always,Always,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
85,R_6xN04EWNnDZsXc1,Default Response Set,10/22/13 10:04,10/22/13 10:15,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,Medical Sciences,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,"Continuing Assistance to the National Institutes of Health on Preparation of Additional Risk Assessments for the Boston University NEIDL, Phase 2",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,,1
86,R_4OT2YAW4D74PPMN,Default Response Set,10/22/13 10:16,10/22/13 10:30,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,,,,,,Ecology,,,,1,2010,"Climate Stabilization Targets: Emissions, Concentrations, and Impacts Over Decades to Millennia",Yes,Yes,1,Somewhat Important,Somewhat Important,Very Important,Neither Important nor Unimportant,Very Important,Neither Important nor Unimportant,Very Important,Factor Importance,5,Factor Importance,4,Factor Importance,3,Factor Importance,6,Factor Importance,2,Factor Importance,7,Factor Importance,1,,,,,Citation Frequency,2,Citation Frequency,1,1,Frequently,Frequently,Frequently,Frequently,,,,,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,"When working on climate change, you must have at least 10 and much more desirable is 20 years of data to be able to determine the difference between natural variability and actual trends due to human changes to the climate. ",1
87,R_4Tp1lSKOqCMz8i1,Default Response Set,10/22/13 10:53,10/22/13 10:55,1,1,1,1 report,Professor / academic researcher,,,,,,,,,Geology and Geography,,,,,,,,,,,,1,2010,Precise Geodetic Infrastructure: National Requirements for a Shared Resource,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,,1
88,R_6E8wzcV2joojSf3,Default Response Set,10/22/13 11:04,10/22/13 11:15,1,1,1,1 report,Agency scientist / resource management scientist,,"Agriculture, Food, and Renewable Resources",,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Important,Neither Important nor Unimportant,Factor Importance,5,Factor Importance,6,Factor Importance,2,Factor Importance,3,Factor Importance,7,Factor Importance,1,Factor Importance,4,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Always,Always,Always,Always,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
89,R_3VQbdouyNyEBiXX,Default Response Set,10/22/13 11:41,10/22/13 11:46,1,1,1,4 or more reports,Professor / academic researcher,,,Anthropology,,,,,,Geology and Geography,,,Natural Resources,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Advancing the Science of Climate Change,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Very Important,Factor Importance,6,Factor Importance,3,Factor Importance,5,Factor Importance,4,Factor Importance,2,Factor Importance,7,Factor Importance,1,,,Citation Frequency,1,,,,,1,Frequently,Always,Frequently,Frequently,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
90,R_5aNzjZPjCPYxeLP,Default Response Set,10/22/13 12:38,10/22/13 12:42,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,Medical Sciences,,,,,,,,,,1,2010,Seventeenth Interim Report of the Committee on Acute Exposure Guideline Levels,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
91,R_0AItaGWqiI9XmNT,Default Response Set,10/22/13 13:26,10/22/13 13:33,1,1,1,2-3 reports,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Somewhat Important,Somewhat Unimportant,Very Important,Very Important,Somewhat Unimportant,Very Important,Very Important,Factor Importance,5,Factor Importance,6,Factor Importance,4,Factor Importance,3,Factor Importance,7,Factor Importance,2,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Always,Always,Always,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We did not consider study duration in reference selection.,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,,1
92,R_cAvi61LILgjY4oR,Default Response Set,10/22/13 13:32,10/22/13 13:37,1,1,1,2-3 reports,Environmental professional,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,Natural Resources,,,,,,,,,1,2010,Improving Water Quality in the Mississippi River Basin and Northern Gulf of Mexico: Strategies and Priorities,Yes,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Agree,,1
93,R_9ppRIqRGi0Y4YBv,Default Response Set,10/22/13 15:20,10/22/13 15:23,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,Mathematics,,,,,,Statistics,,,,,1,2010,"Continuing Assistance to the National Institutes of Health on Preparation of Additional Risk Assessments for the Boston University NEIDL, Phase 2",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Disagree,Agree,Agree,,1
94,R_bQoyuJevEJdLKG9,Default Response Set,10/22/13 15:25,10/22/13 15:52,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,Geology and Geography,,,Natural Resources,,,,,,,,,1,2010,Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,Yes,Yes,1,Neither Important nor Unimportant,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,Somewhat Unimportant,Factor Importance,2,Factor Importance,7,Factor Importance,3,Factor Importance,5,Factor Importance,4,Factor Importance,6,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Infrequently,Frequently,Infrequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Agree,Agree,Agree,Agree,,1
95,R_7VBlOCyvASUdHnf,Default Response Set,10/22/13 16:26,10/22/13 16:40,1,1,1,1 report,Professor / academic researcher,,,,,Biology,,,,,,,,,,,,Ecology,Evolution,Molecular Biology,,1,2010,,Yes,Yes,1,Somewhat Important,Neither Important nor Unimportant,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,4,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,6,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Always,Always,Frequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"The report I worked on was about assessing demographic trends in sea turtles. As many early studies have shown, the information gleaned from a few years of population trends would lead to the conclusion of imminent extinction or population expansion, when the truth from long-term studies is somewhere in the middle. The same is true of many fauna such as sardines and anchovies, which go through huge boom and bust trends. Many ecological processes occur on decadal timescales or longer, and without capturing those trends, it is difficult to make prudent decisions for conservation and management.",1
96,R_9uZt5q21LpvZsPP,Default Response Set,10/22/13 16:38,10/22/13 16:48,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,,,,,,Statistics,,,,,1,2010,Review of the Environmental Protection Agency's Draft IRIS Assessment of Tetrachloroethylene,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,"Your survey lists the latest NRC reports in 2010. Yet, there are many new reports since that year, including the one on Science for EPA (NRC 2012) which I served, where ecological research is cited multiple times. ",1
97,R_0TilZipJfrtv3P7,Default Response Set,10/22/13 18:21,10/22/13 18:38,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,Mathematics,,,,,,Statistics,Ecology,,,,1,2010,"Evaluation of a Site-Specific Risk Assessment for the Department of Homeland Security's Planned National Bio- and Agro-Defense Facility in Manhattan, Kansas",Yes,Yes,1,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Factor Importance,5,Factor Importance,1,Factor Importance,6,Factor Importance,3,Factor Importance,4,Factor Importance,2,Factor Importance,7,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,1,Frequently,Infrequently,Infrequently,Frequently,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,We did not consider study duration in reference selection.,,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,"Our study was concerned with risk from laboratyr pathogens, and as such, incidence of organisms in the region was more important than any particular short term or long term ecological dynamic.  While I would like to see policy decisions based on longer term planning horizons, the current government gestault does not seem to be capable of this. /  / In terms of which articles we referenced, these were based on our personal knowledge of the literature and their relevance to the questions at hand.  We tried to summarize the current state of scientific knowledge as pertaining to the topic.  Factors like date of publication, authors, journal, et cetera were only indirect correlates.",1
98,R_1Lb6vezujPIKk0B,Default Response Set,10/23/13 4:31,10/23/13 4:33,1,1,1,2-3 reports,Industry professional,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,"Evaluation of a Site-Specific Risk Assessment for the Department of Homeland Security's Planned National Bio- and Agro-Defense Facility in Manhattan, Kansas",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
99,R_6RtJaWtsbvm6k3b,Default Response Set,10/23/13 8:49,10/23/13 8:53,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,Advancing the Science of Climate Change,Yes,Yes,1,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,6,Factor Importance,7,Factor Importance,3,Factor Importance,2,Factor Importance,4,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,1,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,,,,,,,,,,,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
100,R_eXbn9LL4yWwNrBb,Default Response Set,10/22/13 9:48,10/23/13 11:59,1,1,1,1 report,Industry professional,,,,,,Chemistry,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Informing an Effective Response to Climate Change,Yes,Yes,1,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Unimportant,Somewhat Important,Very Important,Factor Importance,5,Factor Importance,7,Factor Importance,4,Factor Importance,3,Factor Importance,6,Factor Importance,2,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
101,R_0xO4Ve0uxmbAtzD,Default Response Set,10/24/13 9:40,10/24/13 9:42,1,1,1,1 report,Other (please specify),Biosafety Consultant,,,,,,,,,,Medical Sciences,,,,,,,,,,1,2010,"Evaluation of the Health and Safety Risks of the New USAMRIID High Containment Facilities at Fort Detrick, Maryland",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
102,R_eqTjX5LB9LCrI4l,Default Response Set,8/29/13 13:59,8/29/13 14:06,0,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,,,,,,Statistics,,,,,1,2010,Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Very Important,Factor Importance,6,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,4,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,,,,,,,,,,,,,,,,,,,
