NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Gower, S.A., M.M. Loux, J. Cardina, and S.K. Harrison. 2002. Effect of planting date, residual
herbicide, and postemergence application timing on weed control and grain yield in
glyphosate-tolerant corn (Zea mays). Weed Technology 16(3):488–494.",Gower,WEED TECHNOL,2002,1998,1999,2,terrestrial,USA,USA,http://dx.doi.org/10.1614/0890-037X(2002)016[0488:EOPDRH]2.0.CO;2,33,,0,How is the effect of postemergence application timing of glyphosate influenced by planting date and herbicide application?,NA,GrorudColvert,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Elmore, R.W., F.W. Roeth, R.N. Klein, S.Z. Knezevic, A. Martin, L.A. Nelson, and C.A. Shapiro. 2001a. Glyphosate-resistant soybean cultivar response to glyphosate. Agronomy Journal 93(2):404–407.",Elmore,AGRON J,2001,1998,1999,2,terrestrial,USA,USA,10.2134/agronj2001.932404x,41,,0,,None,Rose,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"May, O.L., and E.C. Murdock. 2002. Yield ranks of glyphosate-resistant cotton cultivars are
unaffected by herbicide systems. Agronomy Journal 94(4):889–894.",May,AGRON J,2002,1998,1999,2,terrestrial,USA,USA,10.2134/agronj2002.8890,38,3.45,0,Effect of herbicides on yields of transgenic crops,None,Close,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Carrière, Y., P. Dutilleul, C. Ellers-Kirk, B. Pedersen, S. Haller, L. Antilla, T.J. Dennehy, and B.E. Tabashnik. 2004a. Sources, sinks, and the zone of influence of refuges for managing insect resistance to Bt crops. Ecological Applications 14(6):1615–1623.",Carrière,ECOL APPL,2004,1998,1999,2,terrestrial,USA,USA,10.1890/03-5268,41,4.56,0,What is the zone of influence of refuges for pink bollworms in Bt cotton?,None,Barner,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Blua, M. J., and D. J. W. Morgan. 2003. Dispersion of Homalodisca coagulata (Hemiptera: Cicadellidae), a vector of Xylella fastidiosa, into vineyards in Southern California. Journal of Economic Entomology 96: 1369–1374.",Blua,J ECON ENTOMOL,2003,1998,2000,2,terrestrial,USA,USA,10.1603/0022-0493-96.5.1369,42,,0,"Measured the dispersion ability of invasive pest (H. coagulata) in vineyards, natural scrub vegetation and riparian vegetation. Pest is a vector for Pierce's disease, which affects grapevine crops.","I didn't miscalculate the duration - the study explictly stated that it was 21 months long, despite that it crossed 3 years",Reimer,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Tingle, C.H., and J.M. Chandler. 2004. The effect of herbicides and crop rotation on weed
control in glyphosate-resistant crops. Weed Technology 18(4):940–946.",Tingle,WEED TECHNOL,2004,1998,2000,2,terrestrial,USA,USA,10.1614/WT-02-126,5,,0,How does crop rotation and level of herbicide affect different weeds that grow in glyphosate-resistant cotton and corn fields?,None,Reimer,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Morrison, L.A., O. Riera-Lizarazu, L. Cremieux, and C.A. Mallory-Smith. 2002b. Jointed
goatgrass (Aegilops cylindrica Host) X wheat (Triticum aestivum L.) hybrids: Hybridization
dynamics in Oregon wheat fields. Crop Science 42:1863–1872",Morrison,CROP SCI,2002,1998,1999,2,terrestrial,USA,USA/Europe/Asia,10.2135/cropsci2002.1863,24,,0,Hybridization between weedy species jointed goatgrass with wheat,None,Shen,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Beckie, H.J., S.I. Warwick, H. Nair, and G. Séguin-Swartz. 2003. Gene flow in commercial fields
of herbicide-resistant canola (Brassica napus). Ecological Applications 13(5):1276–1294.",Beckie,ECOL APPL,2003,1999,2000,2,terrestrial,Canada,Canada,10.1890/02-5231,100,,0,pollen flow between herbicide resistant canola,None,Focht,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Manachini, B. 2003. Effect of transgenic corn on Lydella thompsoni Hertig (Diptera: Tachinidae)
parasitoid of Ostrinia nubilalis Hb. (Lepidoptera: Crambidae). Bollettino di Zoologia
Agraria e di Bachicoltura 35(111–125).",Manachini,BOLL ZOOL AGR BACHIC,2003,1999,2000,2,terrestrial,Italy,Italy,NA,NA,NA,0,Effects of Bt corn on non-target species,Italian journal- couldn't find in Web of Science,Close,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Zwahlen, C., A. Hilbeck, and W. Nentwig. 2007. Field decomposition of transgenic Bt maize
residue and the impact on non-target soil invertebrates. Plant and Soil 300(1–2):245–257.",Zwahlen,PLANT SOIL,2007,1999,2000,2,terrestrial,Switzerland,Switzerland,10.1007/s11104-007-9410-6 ,29,4.83,0,How does BT transgenic corn residue remain in the soil and how does it affect invertebrate communities,NA,Cerny-Chipman,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Adamczyk, J.J., Jr., L.C. Adams, and D.D. Hardee. 2001. Field efficacy and seasonal expression
profiles for terminal leaves of single and double Bacillus thuringiensis toxin cotton
genotypes. Journal of Economic Entomology 94(6):1589–1593.",Adamczyk,PLANT RESISTANCE,2001,1999,2000,2,terrestrial,USA,USA,http://dx.doi.org/10.1603/0022-0493-94.6.1589,0,,0,Evaluation of Bt cotton,NA,GrorudColvert,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Lachnicht, S.L., P.F. Hendrix, R.L. Potter, D.C. Coleman, and D.A. Crossley Jr. 2004. Winter
decomposition of transgenic cotton residue in conventional-till and no-till systems.
Applied Soil Ecology 27(2):135–142.",Lachnicht,APPL SOIL ECOL,2004,1999,2000,2,terrestrial,USA,USA,10.1016/j.aspoil.2004.05.001,24,,0,How is crop decomposition affected by whether the crop is genetically modified?,Spanned Dec-May (20 week study),Reimer,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Matus-Cádiz, M.A., P. Hucl, M.J. Horak, and L.K. Blomquist. 2004. Gene flow in wheat at
the field scale. Crop Science 44(3):718–727.",Matus-Cádiz,CROP SCI,2004,2000,2001,2,terrestrial,Canada,Canada,NA,38,4.22,0,How does gene flow vary across distance in wheat fields?,"The original seed for the study was created in 1990-1992, but it seems like the authors didn't count this as part of the study.",Cerny-Chipman,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Singer, J.W., R.W. Taylor, and W.J. Bamka. 2003. Corn yield response of Bt and near-isolines to plant density. Crop Management",Singer,CROP MANAGE,2003,2000,2001,2,terrestrial,USA,USA,10.1094/CM-2003-0829-01-RS,2,0.20,0,Corn yield response of Bt and near-isolines to plant density,NA,Hettinger,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Al-Deeb, M.A., G.E. Wilde, J.M. Blair, and T.C. Todd. 2003. Effect of Bt corn for corn rootworm
control on nontarget soil microarthropods and nematodes. Environmental Entomology
32(4):859–865.",Al-Deeb,ENVIRON ENTOMOL,2003,2000,2001,2,terrestrial,USA,USA,NA,53,,0,Affect of modified corn toxin on soil samples and nematodes,None,Focht,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Castillo, A.R., M.R. Gallardo, M. Maciel, J.M. Giordano, G.A. Conti, M.C. Gaggiotti, O. Quaino, C. Gianni, and G.F. Hartnell. 2004. Effects of feeding rations with genetically modified whole cottonseed to lactating Holstein cows. Journal of Dairy Science 87(6):1778–1785.",Castillo,J DAIRY SCI,2004,2000,2001,2,terrestrial,USA,USA,10.3168/jds.S0022-0302(04)73333-0,21,,0,,None,Rose,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Al-Deeb, M.A., and G.E. Wilde. 2005. Effect of Bt corn expressing the Cry3Bb1 toxin on western corn rootworm (Coleoptera: Chrysomelidae) biology. Journal of the Kansas Entomological Society 78(2):142–152.",Al-Deeb,J KANSAS ENTOMOL SOC,2005,2000,2001,2,terrestrial,USA,USA,10.2317/0403.04.1,15,1.88,0,Effect of Bt corn on larval survival of western corn rootworm,None,Barner,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Massinga, R.A., K. Al-Khatib, P. St. Amand, and J. F. Miller. 2003. Gene flow from imidazolinoneresistant
domesticated sunflower to wild relatives. Weed Science 51:854–862.",Massinga,WEED SCI,2003,2000,2001,2,terrestrial,USA,USA,10.1614/WS-03-032R,33,,0,gene flow of imi-resistant sunflowers to native populations,None,Focht,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Hilgenfeld, K.L., A.R. Martin, D.A. Mortensen, and S.C. Mason. 2004. Weed management
in a glyphosate resistant soybean system: Weed species shifts. Weed Technology
18(2):284–291.",Hilgenfeld,WEED TECHNOL,2004,2000,2001,2,terrestrial,USA,USA,10.1614/WT-03-045R1,25,,0,agronomy - weeds and herbicide,NA,Rohrer,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Scursoni, J., F. Forcella, J. Gunsolus, M. Owen, R. Oliver, R. Smeda, and R. Vidrine. 2006.
Weed diversity and soybean yield with glyphosate management along a north-south
transect in the United States. Weed Science 54(4):713–719.",Scursoni,WEED SCI,2006,2001,2002,2,terrestrial,Argentina,USA,10.1614/WS-06-004R.1,18,2.57,0,How does the intensity of glyophosphate treatment alter weed escapes and weed diversity across a latitudinal gradient?,NA,Cerny-Chipman,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Abud, S., P.I.M. De Souza, G.R. Vianna, E. Leonardecz, C.T. Moreira, F.G. Faleiro, J.N. Júnior, P.M.F.O. Monteiro, E.L. Rech, and F.J.L. Aragão. 2007. Gene flow from transgenic to nontransgenic soybean plants in the Cerrado region of Brazil. Genetics and Molecular Research 6(2):445–452.",Abud,Genetics and Molecular Research,2007,2001,2002,2,terrestrial,Brazil,Brazil,NA,13,,0,monitoring pollen flow from transgenic to non-transgenic pants in seed production fields,None,Focht,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Bassanezi, R.B., A. Bergamin Filho, L. Amorim, N. Gimenes-Fernandes, T.R. Gottwald, and
J.M. Bové. 2003. Spatial and temporal analyses of citrus sudden death as a tool to
generate hypotheses concerning its etiology. Phytopathology 93(4):502–512",Bassanezi,PHYTOPATHOLOGY,2003,2001,2002,2,terrestrial,Brazil,Brazil,10.1094/PHYTO.2003.93.4.502,32,,0,Understanding citrus sudden death diesease etiology,None,Focht,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Pons, X., and P. Starý. 2003. Spring aphid-parasitoid (Hom., Aphididae, Hym., Braconidae) associations and interactions in a Mediterranean arable crop ecosystem, including Bt maize. Anzeiger fur Schadlingskunde 76(5):133–138.",Pons,J PEST SCI,2003,2001,2002,2,terrestrial,Czech Republic,Spain,10.1007/s10340-003-0003-8,12,1.20,0,"What are the species compositions of plant-aphid-parasitoid associations and interactions in an agroecosystem that includes alfalfa, winter cereals and maize?",PDF from scan&deliver,Barner,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Hopkins, D.W., and E.G. Gregorich. 2003. Detection and decay of the Bt endotoxin in soil
from a field trial with genetically modified maize. European Journal of Soil Science
54(4):793–800.",Hopkins,EUROPEAN JOURNAL OF SOIL SCIENCE,2003,2001,2002,2,terrestrial,United Kingdom,Canada,10.1046/j.1351-0754.2003.0563.x,90,,0,explores the decomposition of genetically modified corn and bacterial abundance,None,Focht,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements (2010),"Diuk-Wasser, M.A., G. Dolo, M. Bagayokos, N. Sogoba, M.B. Toure, M. Moghaddam, N. Manoukis, S. Rian, S.F. Traore, and C.E. Taylor. 2006. Patterns of irrigated rice growth and malaria vector breeding in Mali using multi-temporal ERS-2 synthetic aperture radar. International Journal of Remote Sensing 27, 535-548.",Diuk-Wasser,JOURNAL OF REMOTE SENSING,2006,2001,2002,2,terrestrial,USA,Mali,NA,12,1.71,0,Tracing the development of rice plants in Mali & relate to density of mosquitos,None,Barner,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Scursoni, J.A., F. Forcella, and J. Gunsolus. 2007. Weed escapes and delayed weed emergence
in glyphosate-resistant soybean. Crop Protection 26(3):212–218",Scursoni,CROP PROT,2007,2001,2002,2,terrestrial,USA,USA, 10.1016/j.cropro.2006.04.028,15,,0,"What are the effects of different glyphosate treatments (one-pass glyphosate, two-pass glyphosate) on weed control and weed community composition?",NA,GrorudColvert,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Massinga, R.A., K. Al-Khatib, P. St. Amand, and J.F. Miller. 2005. Relative fitness of imazamoxresistant
common sunflower and prairie sunflower. Weed Science 53(2):166–174.",Massinga,WEED SCI,2005,2001,2002,2,terrestrial,USA,USA, 10.1614/WS-03-152R1,17,,0,"If the IMI-resistant trait is incorporated in these species, will the frequency of IMI-resistance genes increase or decrease?",NA,GrorudColvert,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Michaud, J.P. 2004. Natural mortality of Asian citrus psyllid (Homoptera: Psyllidae) in central Florida. Biological Control 29(2):260–269.",Michaud,BIOL CONTROL,2004,2001,2002,2,terrestrial,USA,USA,10.1016/S1049-9644(03)00161-0,72,,0,,,Rose,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Sisterson, M.S., R.W. Biggs, C. Olson, Y. Carrière, T.J. Dennehy, and B.E. Tabashnik. 2004b.
Arthropod abundance and diversity in Bt and non-Bt cotton fields. Environmental
Entomology
33(4):921–929.",Sisterson,COMMUNITY AND ECOSYSTEM ECOLOGY,2004,2001,2002,2,terrestrial,USA,USA,NA,72,,0,arthropod diversity in bt and non bt corn fields,None,Focht,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Van Deynze, A.E., F.J. Sundstrom, and K.J. Bradford. 2005. Pollen-mediated gene flow in
California cotton depends on pollinator activity. Crop Science 45(4):1565–1570.",Van Deynze,CROP SCI,2005,2001,2002,2,terrestrial,USA,USA,10.2135/cropsci2004.0463,12,,0,Agronomy - gene flow in crop population,NA,Rohrer,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Devare, M.H., C.M. Jones, and J.E. Thies. 2004. Effect of Cry3Bb transgenic corn and
tefluthrin
on the soil microbial community: Biomass, activity, and diversity. Journal of
Environmental Quality 33(3):837–843.",Devare,JOURNAL OF ENVIRONMENTAL QUALITY,2004,2001,2002,2,terrestrial,USA,USA,NA,59,,0,effect of transgenic corn and chemical on microbial activity,None,Focht,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Myers, M.W., W.S. Curran, M.J. VanGessel, B.A. Majek, B.A. Scott, D.A. Mortensen, D.D. Calvin, H.D. Karsten, and G.W. Roth. 2005. The effect of weed density and application timing on weed control and corn grain yield. Weed Technology 19(1):102–107.",Myers,WEED TECHNOL,2005,2001,2002,2,terrestrial,USA,USA,10.1614/WT-03-263R,7,0.88,0,What is the effect of weed density and time of glyphosate application on weed control and corn grain yield?,None,Barner,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Thomas, W.E., I.C. Burke, and J.W. Wilcut. 2004. Weed management in glyphosate-resistant
corn with glyphosate and halosulfuron. Weed Technology 18(4):1049–1057.",Thomas,WEED TECHNOL,2004,2001,2002,2,terrestrial,USA,USA,10.1614/WT-03-222R ,10,,0,agronomy,NA,Rohrer,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Zerner, M.C., G.S. Gill, and R.K. Vandeleur. 2008. Effect of height on the competitive ability of wheat with oats.
Agronomy Journal 100(6):1729–1734.",Zerner,AGRON J,2008,2002,2003,2,terrestrial,Australia,Australia,10.2134/agronj2008.0068,8,,0,agronomy - crop interactions,NA,Rohrer,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Cortet, J., M.N. Andersen, S. Caul, B. Griffiths, R. Joffre, B. Lacroix, C. Sausse, J. Thompson, and P.H. Krogh. 2006. Decomposition processes under Bt (Bacillus thuringiensis) maize: Results of a multi-site experiment. Soil Biology and Biochemistry 38(1):195–199.",Cortet,SOIL BIOL BIOCHEM,2006,2002,2003,2,terrestrial,France,France,10.1016/j.soilbio.2005.04.025,27,3.86,0,Decomposition processes under Bt (Bacillus thuringiensis) maize,NA,Hettinger,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Mungai, N.W., P.P. Motavalli, K.A. Nelson, and R.J. Kremer. 2005. Differences in yields, residue composition and N mineralization dynamics of Bt and non-Bt maize. Nutrient Cycling in Agroecosystems 73(1):101–109.",Mungai,NUTR CYCL AGROECOSYS,2005,2002,2003,2,terrestrial,Kenya,USA,10.1007/s10705-005-8850-8,18,2.25,0,What effects does genetically-modified maize have on grain and biomass yields?,None,Barner,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Griffiths, B.S., S. Caul, J. Thompson, A.N.E. Birch, C. Scrimgeour, M.N. Andersen, J. Cortet,
A. Messéan, C. Sausse, B. Lacroix, and P.H. Krogh. 2005. A comparison of soil microbial
community structure, protozoa and nematodes in field plots of conventional and
genetically modified maize expressing the Bacillus thuringiensis Cry1Ab toxin. Plant
and Soil 275(1–2):135–146.",Griffiths,PLANT SOIL,2005,2002,2003,2,terrestrial,United Kingdom,Europe,10.1007/s11104-005-1093-2,53,,0,What are the differences in community structure in field plots of conventional or genetically modified Bt maize?,NA,GrorudColvert,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Laughlin, K.D., A.G. Power, A.A. Snow, and L.J. Spencer. 2009. Risk assessment of genetically
engineered crops: Fitness effects of virus-resistance transgenes in wild Cucurbita
pepo. Ecological Applications 19(5):1091–1101.",Laughlin,ECOL APPL,2009,2002,2003,2,terrestrial,USA,USA,10.1890/08-0105.1 ,8,2.00,0,Does transgenic backcrossed wild cucumber have reduced virus pressure and higher fecundity than a non-transgenic backcross?,"The crosses used in the study were created earlier than 2002, but I can't find any dates on that. The authors def consider the experiment as having started in 2002",Cerny-Chipman,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Ahmad, A., G.E. Wilde, R.J. Whitworth, and G. Zolnerowich. 2006. Effect of corn hybrids
expressing the coleopteran-specific Cry3Bb1 protein for corn rootworm control on
aboveground insect predators. Journal of Economic Entomology 99(4):1085–1095.",Ahmad,J ECON ENTOMOL,2006,2002,2003,2,terrestrial,USA,USA,http://dx.doi.org/10.1603/0022-0493-99.4.1085,17,,0,Effect of Bt corn on aboveground nontarget insect predators,None,Shen,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Cattaneo, M.G., C.M. Yafuso, C. Schmidt, C.-Y. Huang, M. Rahman, C. Olson, C. Ellers-Kirk,
B.J. Orr, S.E. Marsh, L. Antilla, P. Dutilleul, and Y. Carrière. 2006. Farm-scale evaluation
of the impacts of transgenic cotton on biodiversity, pesticide use, and yield. Proceedings
of the National Academy of Sciences of the United States of America 103(20):7571–7576.",Cattaneo,P NATL ACAD SCI USA,2006,2002,2003,2,terrestrial,USA,USA,10.1073/pnas.0508312103,61,,0,"How does Bt cotton affect insecticide use,  yield and species interactions in Arizona farms?",None,Reimer,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Davros, N.M., D.M. Debinski, K.F. Reeder, and W.L. Hohman. 2006. Butterflies and continuous conservation reserve program filter strips: landscape considerations. Wildlife Society Bulletin 34(4):936–943.",Davros,WILDL SOC BULL,2006,2002,2003,2,terrestrial,USA,USA,10.2193/0091-7648(2006)34[936:BACCRP]2.0.CO;2,5,0.71,1,Butterflies and continuous conservation reserve program filter strips,NA,Hettinger,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Davros, N.M., D.M. Debinski, K.F. Reeder, and W.L. Hohman. 2006. Butterflies and continuous conservation reserve
program filter strips: landscape considerations. Wildlife Society Bulletin 34(4):936–943.",Davros,WILDL SOC BULL,2006,2002,2003,2,terrestrial,USA,USA,10.2193/0091-7648(2006)34[936:BACCRP]2.0.CO;2,5,,0,Landscape effects on butterfly communities in filter strips,None,Shen,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Vialatte, A., M. Plantegenest, J.-C. Simon, and C.-A. Dedryver. 2007. Farm-scale assessment of movement patterns and colonization dynamics of the grain aphid in arable crops and hedgerows. Agricultural and Forest Entomology 9(4):337-346.",Vialatte,AGR FOREST ENTOMOL,2007,2003,2004,2,terrestrial,France,France,10.1111/j.1461-9563.2007.00347.x,10,,0,agronomy - pest ecology,NA,Rohrer,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Cox, W.J., R.R. Hahn, and P.J. Stachowski. 2006. Time of weed removal with glyphosate
affects
corn growth and yield components. Agronomy Journal 98(2):349–353.",Cox,AGRON J,2006,2003,2004,2,terrestrial,USA,USA,10.2134/agronj2005.0078,15,,0,Effect of glyphosate application timing on corn yield,None,Shen,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Lehman, R.M., S.L. Osborne, and K.A. Rosentrater. 2008. No differences in decomposition rates observed between Bacillus thuringiensis and non-Bacillus thuringiensis corn residue incubated in the field. Agronomy Journal 100(1):163–168.",Lehman,AGRON J,2008,2003,2004,2,terrestrial,USA,USA,10.2134/agronj2007.0123,22,4.40,,,None,Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Rundlof, M., H. Nilsson, and H.G. Smith. 2008. Interacting effects of farming practice and landscape context on
bumblebees. Biological Conservation 141(2):417–426.",Rundlof,BIOL CONSERV,2008,2003,2004,2,terrestrial,USA,USA,10.1016/j.biocon.2007.10.011,65,13.00,,"Interacting effects of farming practice and landscape context on
bumblebees.",None,Robinson,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Vance, G.F., L.A. King, and G.K. Ganjegunte. 2008. Soil and plant responses from land application of saline-sodic waters:
Implications of management. Journal of Environmental Quality 37:S139-S148.",Vance,J ENVIRON QUAL,2008,2003,2004,2,terrestrial,USA,USA,10.2134/jeq2007.0442,15,,0,Effect of irrigation with saline-sodic waters on soil and plants,None,Shen,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Tarkalson, D.D., S.D. Kachman, J.M.N. Knops, J.E. Thies, and C.S. Wortmann. 2008.
Decomposition
of Bt and non-Bt corn hybrid residues in the field. Nutrient Cycling in
Agroecosystems 80(3):211–222.",Tarkalson,NUTR CYCL AGROECOSYS,2008,2003,2005,2,terrestrial,USA,USA,10.1007/s10705-007-9135-1,19,,0,How do commonly grown isolines of Bt and non-Bt corn differ in decomposition rate and chemical composition?,None,Reimer,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Gibson, R.H., S. Pearce, R.J. Morris, W.O.C. Symondson, and J. Memmott. 2007. Plant diversity and land use under
organic and conventional agriculture: a whole-farm approach. Journal of Applied Ecology 44:792–803.",Gibson,J APPL ECOL,2007,2004,2005,2,terrestrial,United Kingdom,United Kingdom,10.1111/j.1365-2664.2007.01292.x,33,5.50,,Plant diversity and community differences between organic and conventional farming.,None,Close,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Cox, W.J., J.H. Cherney, and E. Shields. 2007a. Clothianidin seed treatments inconsistently
affect corn forage yield when following soybean. Agronomy Journal 99(2):543–548.",Cox,AGRON J,2007,2004,2005,2,terrestrial,USA,USA,10.2134/agronj2006.0170,4,,0,argronomy,NA,Rohrer,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Mills, C.I., C.W. Bednarz, G.L. Ritchie, and J.R. Whitaker. 2008. Yield, quality, and fruit distribution in Bollgard/Roundup Ready and Bollgard II/Roundup Ready flex cottons. Agronomy Journal 100(1):35–41.",Mills,AGRON J,2008,2004,2005,2,terrestrial,USA,USA,10.2134/agrojnl2006.0299,1,,0,,None,Rose,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Bradley, K.W., and L.E. Sweets. 2008. Influence of glyphosate and fungicide coapplications
on weed control, spray penetration, soybean response, and yield in glyphosate-resistant
soybean. Agronomy Journal 100(5):1360–1365.",Bradley,AGRONOMY JOURNAL,2008,2004,2005,2,terrestrial,USA,USA,10.2134/agronj2007.0329,9,,0,Glyphosate and fungicide co applications influence on glyphosate-resistant soybean,None,Focht,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
